@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
0<=X<200,12.0,'existing paid',radio/tv,1484.0,?,1<=X<4,2.0,'male mar/wid',none,1.0,'real estate',25.0,none,own,1.0,skilled,1.0,yes,yes,bad
>=200,12.0,'all paid',business,609.0,47,<1,4.0,'female div/dep/mar',none,1.0,'real estate',26.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,bad
'no checking',12.0,'existing paid','new car',1884.0,60,>=7,4.0,'male single',none,4.0,car,39.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,48.0,'critical/other existing credit',furniture/equipment,5096.0,63,1<=X<4,2.0,'female div/dep/mar',none,3.0,car,30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',9.0,'critical/other existing credit',education,1244.0,?,>=7,4.0,'female div/dep/mar',none,4.0,'life insurance',41.0,none,rent,2.0,'unskilled resident',1.0,none,yes,good
0<=X<200,7.0,'existing paid',radio/tv,2576.0,28,1<=X<4,2.0,'male single',guarantor,2.0,'real estate',35.0,none,own,1.0,skilled,1.0,none,yes,good
>=200,12.0,'existing paid',furniture/equipment,1424.0,?,>=7,3.0,'female div/dep/mar',none,4.0,'real estate',55.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,15.0,'delayed previously',repairs,1512.0,1006.42454035,1<=X<4,3.0,'male mar/wid',none,3.0,'life insurance',61.0,stores,own,2.0,skilled,1.0,none,yes,bad
'no checking',12.0,'no credits/all paid',furniture/equipment,2759.0,16,>=7,2.0,'male single',none,4.0,'life insurance',34.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid','used car',2670.0,83,>=7,4.0,'male single',none,4.0,car,35.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,24.0,'existing paid','new car',4817.0,36,4<=X<7,2.0,'male single','co applicant',3.0,'life insurance',31.0,none,own,1.0,skilled,1.0,yes,yes,bad
'no checking',24.0,'existing paid','used car',2679.0,85,<1,4.0,'female div/dep/mar',none,1.0,'no known property',29.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,11.0,'critical/other existing credit','new car',3905.0,55,1<=X<4,2.0,'male single',none,2.0,'real estate',36.0,none,rent,2.0,skilled,2.0,none,yes,good
<0,12.0,'existing paid','used car',3386.0,3,>=7,3.0,'male single',none,4.0,'no known property',35.0,none,'for free',1.0,skilled,1.0,yes,yes,bad
<0,36.0,'existing paid',furniture/equipment,3620.0,26,1<=X<4,1.0,'male single',guarantor,2.0,'life insurance',37.0,none,own,1.0,skilled,2.0,none,yes,good
<0,15.0,'existing paid','new car',1721.0,17,<1,2.0,'male single',none,3.0,'real estate',36.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'existing paid',furniture/equipment,3017.0,53,<1,3.0,'female div/dep/mar',none,1.0,'real estate',34.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good
<0,24.0,'delayed previously',radio/tv,1659.0,66,<1,4.0,'female div/dep/mar',none,2.0,car,29.0,none,rent,1.0,'unskilled resident',1.0,yes,yes,bad
'no checking',48.0,'delayed previously',radio/tv,7238.0,?,>=7,3.0,'male single',none,3.0,car,32.0,bank,own,2.0,skilled,2.0,none,yes,good
'no checking',33.0,'delayed previously',business,2764.0,70,1<=X<4,2.0,'female div/dep/mar',none,2.0,car,26.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,6.0,'existing paid',education,448.0,62,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,9.0,'existing paid','new car',654.0,6,1<=X<4,4.0,'male single',none,3.0,car,28.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
'no checking',6.0,'existing paid',retraining,1238.0,?,unemployed,4.0,'male single',none,4.0,'life insurance',36.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
0<=X<200,18.0,'critical/other existing credit',radio/tv,1245.0,1,1<=X<4,4.0,'male mar/wid',none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,18.0,'no credits/all paid',furniture/equipment,3114.0,77,<1,1.0,'female div/dep/mar',none,4.0,'life insurance',26.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',39.0,'existing paid','used car',2569.0,932,1<=X<4,4.0,'male single',none,4.0,car,24.0,none,own,1.0,skilled,1.0,none,yes,good
<0,15.0,'critical/other existing credit',furniture/equipment,1478.0,41,>=7,4.0,'male single',none,4.0,car,44.0,none,own,2.0,skilled,2.0,yes,yes,good
0<=X<200,12.0,'critical/other existing credit',radio/tv,3573.0,74,1<=X<4,1.0,'female div/dep/mar',none,1.0,'real estate',23.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
<0,30.0,'existing paid',furniture/equipment,3622.0,1010.5853758,>=7,4.0,'female div/dep/mar',none,4.0,'life insurance',57.0,none,rent,2.0,skilled,1.0,yes,yes,good
'no checking',15.0,'delayed previously',furniture/equipment,960.0,1118.72385135,4<=X<7,3.0,'female div/dep/mar',none,2.0,'life insurance',30.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,6.0,'delayed previously','new car',1209.0,24,unemployed,4.0,'male single',none,4.0,'life insurance',47.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',12.0,'existing paid',radio/tv,3077.0,68,1<=X<4,2.0,'male single',none,4.0,car,52.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',10.0,'existing paid','new car',1418.0,408,1<=X<4,3.0,'male single',none,2.0,'real estate',35.0,none,rent,1.0,'unskilled resident',1.0,none,no,good
'no checking',6.0,'existing paid','new car',3518.0,27,1<=X<4,2.0,'male single',guarantor,3.0,'life insurance',26.0,none,rent,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'critical/other existing credit',radio/tv,1934.0,70,>=7,2.0,'male single',none,2.0,'no known property',26.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,27.0,'no credits/all paid',business,8318.0,66,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',42.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,12.0,'critical/other existing credit','new car',2122.0,53,1<=X<4,3.0,'male single',none,2.0,'real estate',39.0,none,rent,2.0,'unskilled resident',2.0,none,no,good
0<=X<200,36.0,'existing paid',furniture/equipment,9034.0,325,<1,4.0,'male single','co applicant',1.0,'no known property',29.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'critical/other existing credit',furniture/equipment,1585.0,63,4<=X<7,4.0,'male single',none,3.0,'life insurance',40.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid',radio/tv,1301.0,67,>=7,4.0,'male mar/wid',guarantor,2.0,'real estate',32.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
>=200,6.0,'critical/other existing credit','new car',1323.0,461,>=7,2.0,'male div/sep',none,4.0,car,28.0,none,own,2.0,skilled,2.0,yes,yes,good
<0,24.0,'existing paid','new car',3123.0,59,<1,4.0,'female div/dep/mar',none,1.0,'life insurance',27.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,36.0,'existing paid','used car',5493.0,78,>=7,2.0,'male single',none,4.0,'no known property',42.0,none,'for free',1.0,skilled,2.0,none,yes,good
>=200,9.0,'existing paid',radio/tv,1126.0,381,>=7,2.0,'male div/sep',none,4.0,'real estate',49.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit',radio/tv,1216.0,485,<1,4.0,'male single',none,4.0,'no known property',38.0,bank,own,2.0,skilled,2.0,none,yes,bad
<0,24.0,'existing paid','new car',1207.0,55,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',24.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',10.0,'existing paid','new car',1309.0,?,1<=X<4,4.0,'male single',guarantor,4.0,'life insurance',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
>=200,15.0,'critical/other existing credit','used car',2360.0,976,1<=X<4,2.0,'male single',none,2.0,car,36.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,15.0,'all paid','new car',6850.0,274,unemployed,1.0,'male single',none,2.0,'life insurance',34.0,none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,yes,bad
'no checking',39.0,'existing paid','used car',8588.0,339,>=7,4.0,'male single',none,2.0,car,45.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,12.0,'existing paid','new car',759.0,6,4<=X<7,4.0,'male single',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',36.0,'existing paid','used car',4686.0,10,1<=X<4,2.0,'male single',none,2.0,'no known property',32.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
>=200,15.0,'existing paid',business,2687.0,41,4<=X<7,2.0,'male single',none,4.0,'life insurance',26.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'delayed previously',radio/tv,585.0,69,1<=X<4,4.0,'male mar/wid','co applicant',4.0,'real estate',20.0,none,rent,2.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid','new car',2255.0,?,<1,4.0,'male single',none,1.0,'life insurance',54.0,none,own,1.0,skilled,1.0,none,yes,good
<0,6.0,'critical/other existing credit','new car',609.0,83,4<=X<7,4.0,'female div/dep/mar',none,3.0,'life insurance',37.0,none,own,2.0,skilled,1.0,none,no,good
<0,6.0,'critical/other existing credit','new car',1361.0,38,<1,2.0,'male single',none,4.0,'real estate',40.0,none,own,1.0,'unskilled resident',2.0,none,no,good
<0,6.0,'existing paid','new car',1203.0,203,>=7,3.0,'male single',none,2.0,'life insurance',43.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',6.0,'critical/other existing credit',radio/tv,700.0,?,>=7,4.0,'male single',none,4.0,'no known property',36.0,none,'for free',2.0,skilled,1.0,none,yes,good
'no checking',24.0,'critical/other existing credit',repairs,5507.0,11,>=7,3.0,'male single',none,4.0,'no known property',44.0,none,'for free',2.0,skilled,1.0,none,yes,good
<0,48.0,'no credits/all paid',furniture/equipment,7119.0,56,1<=X<4,3.0,'male single',none,4.0,'no known property',53.0,none,'for free',2.0,skilled,2.0,none,yes,bad
'no checking',24.0,'existing paid','used car',3488.0,339,4<=X<7,3.0,'female div/dep/mar',none,4.0,car,23.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid',radio/tv,1113.0,68,1<=X<4,4.0,'female div/dep/mar',guarantor,4.0,'real estate',26.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
'no checking',15.0,'critical/other existing credit',education,1532.0,466,1<=X<4,4.0,'female div/dep/mar',none,3.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',4.0,'critical/other existing credit',radio/tv,1503.0,26,4<=X<7,2.0,'male single',none,1.0,'real estate',42.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
<0,36.0,'existing paid',radio/tv,2302.0,94,1<=X<4,4.0,'male div/sep',none,4.0,car,31.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,6.0,'existing paid','new car',662.0,90,<1,3.0,'male single',none,4.0,'real estate',41.0,none,own,1.0,'unskilled resident',2.0,yes,yes,good
0<=X<200,15.0,'existing paid','new car',2631.0,318,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,28.0,none,rent,2.0,skilled,1.0,yes,yes,bad
'no checking',12.0,'delayed previously','used car',1503.0,56,1<=X<4,4.0,'male mar/wid',none,4.0,'real estate',41.0,none,rent,1.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid',radio/tv,1311.0,445,4<=X<7,4.0,'male mar/wid',none,3.0,'life insurance',26.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,3105.0,?,<1,4.0,'male single',none,2.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'critical/other existing credit',furniture/equipment,3612.0,97,>=7,3.0,'female div/dep/mar',none,4.0,'life insurance',37.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,48.0,'existing paid','new car',7763.0,12,>=7,4.0,'male single',none,4.0,'no known property',42.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
>=200,18.0,'existing paid',furniture/equipment,3049.0,3,<1,1.0,'female div/dep/mar',none,1.0,'life insurance',45.0,stores,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'delayed previously','new car',2032.0,58,>=7,4.0,'male single',none,4.0,'no known property',60.0,none,'for free',2.0,skilled,1.0,yes,yes,good
<0,30.0,'existing paid',furniture/equipment,6350.0,?,>=7,4.0,'male single',none,4.0,'life insurance',31.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',12.0,'critical/other existing credit','new car',1255.0,47,>=7,4.0,'male single',none,4.0,'real estate',61.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'critical/other existing credit','new car',2022.0,30,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,1552.0,49,4<=X<7,3.0,'male single',none,1.0,car,32.0,bank,own,1.0,skilled,2.0,none,yes,good
<0,12.0,'all paid',radio/tv,626.0,56,1<=X<4,4.0,'female div/dep/mar',none,4.0,'real estate',24.0,bank,own,1.0,'unskilled resident',1.0,none,yes,bad
'no checking',48.0,'critical/other existing credit','used car',8858.0,?,4<=X<7,2.0,'male single',none,1.0,'no known property',35.0,none,'for free',2.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',repairs,996.0,?,4<=X<7,4.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,9.0,'existing paid',education,1199.0,53,4<=X<7,4.0,'female div/dep/mar',none,4.0,'life insurance',67.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,12.0,'existing paid',radio/tv,1331.0,25,<1,2.0,'male single',none,1.0,car,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,18.0,'no credits/all paid','new car',2278.0,190,<1,3.0,'female div/dep/mar',none,3.0,car,28.0,none,own,2.0,skilled,1.0,none,yes,bad
<0,24.0,'all paid',furniture/equipment,3552.0,65,4<=X<7,3.0,'male single',none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,bad
<0,24.0,'existing paid','used car',2964.0,?,>=7,4.0,'male single',none,4.0,'no known property',49.0,bank,'for free',1.0,skilled,2.0,yes,yes,good
0<=X<200,24.0,'delayed previously',radio/tv,1553.0,250,4<=X<7,3.0,'female div/dep/mar',none,2.0,'life insurance',23.0,none,rent,2.0,skilled,1.0,yes,yes,good
<0,12.0,'existing paid','new car',1372.0,37,4<=X<7,2.0,'male div/sep',none,3.0,car,36.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',24.0,'critical/other existing credit',radio/tv,2578.0,1032.77072405,>=7,2.0,'male single',none,2.0,car,34.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,48.0,'existing paid',radio/tv,3979.0,?,4<=X<7,4.0,'male single',none,1.0,car,41.0,none,own,2.0,skilled,2.0,yes,yes,good
<0,24.0,'existing paid',furniture/equipment,3234.0,56,<1,4.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,'unskilled resident',1.0,yes,yes,bad
'no checking',24.0,'existing paid','used car',5433.0,?,unemployed,2.0,'female div/dep/mar',none,4.0,'life insurance',26.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,15.0,'existing paid',business,806.0,0,1<=X<4,4.0,'female div/dep/mar',none,4.0,'life insurance',22.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,9.0,'existing paid',radio/tv,1082.0,39,>=7,4.0,'male single',none,4.0,car,27.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',15.0,'critical/other existing credit',furniture/equipment,2788.0,79,4<=X<7,2.0,'female div/dep/mar','co applicant',3.0,car,24.0,bank,own,2.0,skilled,1.0,none,yes,good
0<=X<200,36.0,'critical/other existing credit','new car',2820.0,87,<1,4.0,'male div/sep',none,4.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,bad
'no checking',24.0,'existing paid',retraining,937.0,75,<1,4.0,'male mar/wid',none,3.0,car,27.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
0<=X<200,18.0,'critical/other existing credit','new car',1056.0,68,>=7,3.0,'male single',guarantor,3.0,'real estate',30.0,bank,own,2.0,skilled,1.0,none,yes,bad
'no checking',9.0,'existing paid',furniture/equipment,1388.0,8,1<=X<4,4.0,'female div/dep/mar',none,2.0,'real estate',26.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,36.0,'existing paid',repairs,2384.0,79,<1,4.0,'male single',none,1.0,'no known property',33.0,none,rent,1.0,'unskilled resident',1.0,none,yes,bad
<0,18.0,'existing paid',furniture/equipment,2039.0,45,1<=X<4,1.0,'female div/dep/mar',none,4.0,'real estate',20.0,bank,rent,1.0,skilled,1.0,none,yes,bad
<0,9.0,'critical/other existing credit','new car',2799.0,98,1<=X<4,2.0,'male single',none,2.0,'real estate',36.0,none,rent,2.0,skilled,2.0,none,yes,good
<0,12.0,'existing paid',furniture/equipment,1289.0,40,1<=X<4,4.0,'male single',guarantor,1.0,'life insurance',21.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
<0,18.0,'existing paid','domestic appliance',1217.0,92,1<=X<4,4.0,'male mar/wid',none,3.0,'real estate',47.0,none,own,1.0,'unskilled resident',1.0,yes,yes,bad
<0,12.0,'critical/other existing credit',furniture/equipment,2246.0,75,>=7,3.0,'male single',none,3.0,'life insurance',60.0,none,own,2.0,skilled,1.0,none,yes,bad
<0,12.0,'critical/other existing credit',radio/tv,385.0,15,4<=X<7,4.0,'female div/dep/mar',none,3.0,'real estate',58.0,none,own,4.0,'unskilled resident',1.0,yes,yes,good
0<=X<200,24.0,'delayed previously','new car',1965.0,?,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,42.0,none,rent,2.0,skilled,1.0,yes,yes,good
'no checking',21.0,'existing paid',business,1572.0,1102.13018018,>=7,4.0,'female div/dep/mar',none,4.0,'real estate',36.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
<0,24.0,'all paid',other,1358.0,?,>=7,4.0,'male single',none,3.0,car,40.0,stores,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,24.0,'existing paid','new car',1442.0,72,4<=X<7,4.0,'female div/dep/mar',none,4.0,car,23.0,none,rent,2.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,'no credits/all paid',business,4241.0,18,1<=X<4,1.0,'male single',none,4.0,'real estate',36.0,none,own,3.0,'unskilled resident',1.0,yes,yes,bad
'no checking',18.0,'critical/other existing credit','new car',2775.0,29,4<=X<7,2.0,'male single',none,2.0,'life insurance',31.0,bank,own,2.0,skilled,1.0,none,yes,bad
'no checking',24.0,'delayed previously',business,3863.0,50,1<=X<4,1.0,'male single',none,2.0,'no known property',32.0,none,'for free',1.0,skilled,1.0,none,yes,good
0<=X<200,9.0,'existing paid',furniture/equipment,918.0,77,1<=X<4,4.0,'female div/dep/mar',none,1.0,'life insurance',30.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,'all paid',education,1837.0,54,4<=X<7,4.0,'female div/dep/mar',none,4.0,'no known property',34.0,bank,'for free',1.0,'unskilled resident',1.0,none,yes,bad
>=200,10.0,'existing paid',furniture/equipment,1275.0,86,<1,4.0,'female div/dep/mar',none,2.0,'life insurance',23.0,none,own,1.0,skilled,1.0,none,yes,good
<0,24.0,'all paid',furniture/equipment,2828.0,843,1<=X<4,4.0,'male single',none,4.0,'real estate',22.0,stores,own,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'critical/other existing credit',business,4526.0,59,1<=X<4,3.0,'male single',none,2.0,'real estate',74.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,36.0,'existing paid',radio/tv,2671.0,299,1<=X<4,4.0,'female div/dep/mar','co applicant',4.0,'no known property',50.0,none,'for free',1.0,skilled,1.0,none,yes,bad
'no checking',18.0,'existing paid',radio/tv,2051.0,24,<1,4.0,'male single',none,1.0,'real estate',33.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid','used car',1300.0,?,>=7,4.0,'male single',none,4.0,'no known property',45.0,bank,'for free',1.0,skilled,2.0,none,yes,good
<0,12.0,'existing paid','domestic appliance',741.0,416,unemployed,4.0,'female div/dep/mar',none,3.0,'life insurance',22.0,none,own,1.0,skilled,1.0,none,yes,bad
>=200,10.0,'existing paid','new car',1240.0,200,>=7,1.0,'female div/dep/mar',none,4.0,'no known property',48.0,none,'for free',1.0,'unskilled resident',2.0,none,yes,bad
<0,21.0,'existing paid',radio/tv,3357.0,1038.02313123,<1,4.0,'female div/dep/mar',none,2.0,car,29.0,bank,own,1.0,skilled,1.0,none,yes,good
<0,24.0,'all paid','used car',3632.0,70,1<=X<4,1.0,'female div/dep/mar',guarantor,4.0,car,22.0,bank,rent,1.0,skilled,1.0,none,no,good
0<=X<200,48.0,'no credits/all paid',business,12204.0,?,1<=X<4,2.0,'male single',none,2.0,car,48.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,6.0,'critical/other existing credit','new car',3676.0,93,1<=X<4,1.0,'male single',none,3.0,'real estate',37.0,none,rent,3.0,skilled,2.0,none,yes,good
0<=X<200,30.0,'existing paid',furniture/equipment,3441.0,192,1<=X<4,2.0,'female div/dep/mar','co applicant',4.0,car,21.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',12.0,'existing paid','new car',640.0,95,1<=X<4,4.0,'male div/sep',none,2.0,'real estate',49.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,21.0,'critical/other existing credit',business,3652.0,24,4<=X<7,2.0,'male single',none,3.0,'life insurance',27.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'critical/other existing credit','new car',1530.0,18,1<=X<4,3.0,'male single',none,2.0,'life insurance',32.0,bank,own,2.0,skilled,1.0,none,yes,bad
'no checking',48.0,'existing paid',business,3914.0,?,1<=X<4,4.0,'male div/sep',none,2.0,'real estate',38.0,bank,own,1.0,skilled,1.0,none,yes,bad
<0,12.0,'existing paid',furniture/equipment,1858.0,38,<1,4.0,'female div/dep/mar',none,1.0,car,22.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,18.0,'existing paid',radio/tv,2600.0,47,1<=X<4,4.0,'male single',none,4.0,'no known property',65.0,none,'for free',2.0,skilled,1.0,none,yes,bad
'no checking',15.0,'existing paid',radio/tv,1979.0,?,>=7,4.0,'male single',none,2.0,car,35.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',42.0,'critical/other existing credit',furniture/equipment,4042.0,905,1<=X<4,4.0,'male single',none,4.0,'real estate',36.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',9.0,'existing paid',education,3832.0,?,>=7,1.0,'male single',none,4.0,'real estate',64.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
<0,18.0,'all paid',furniture/equipment,1553.0,72,1<=X<4,4.0,'male single',none,3.0,car,44.0,bank,own,1.0,skilled,1.0,none,yes,bad
'no checking',9.0,'existing paid',furniture/equipment,1980.0,10,<1,2.0,'female div/dep/mar','co applicant',2.0,car,19.0,none,rent,2.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,'existing paid','new car',1355.0,63,<1,3.0,'female div/dep/mar',none,4.0,car,25.0,none,own,1.0,'unskilled resident',1.0,yes,yes,bad
'no checking',12.0,'existing paid',education,1393.0,8,>=7,4.0,'male single',none,4.0,'life insurance',47.0,bank,own,3.0,skilled,2.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,1376.0,692,4<=X<7,4.0,'female div/dep/mar',none,1.0,car,28.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid',radio/tv,1493.0,21,<1,4.0,'female div/dep/mar',none,3.0,car,34.0,none,own,1.0,skilled,2.0,none,yes,good
<0,42.0,'delayed previously',radio/tv,4370.0,17,4<=X<7,3.0,'male single',none,2.0,'life insurance',26.0,bank,own,2.0,skilled,2.0,yes,yes,bad
<0,18.0,'existing paid',education,750.0,65,unemployed,4.0,'female div/dep/mar',none,1.0,'real estate',27.0,none,own,1.0,'unemp/unskilled non res',1.0,none,yes,bad
0<=X<200,15.0,'existing paid',repairs,1308.0,11,>=7,4.0,'male single',none,4.0,car,38.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'critical/other existing credit',radio/tv,1851.0,39,4<=X<7,4.0,'male mar/wid',guarantor,2.0,car,33.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',36.0,'delayed previously',business,7980.0,?,<1,4.0,'male single',none,4.0,car,27.0,none,rent,2.0,skilled,1.0,yes,yes,bad
<0,30.0,'no credits/all paid',furniture/equipment,4583.0,78,1<=X<4,2.0,'male div/sep',guarantor,2.0,'real estate',32.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid','new car',1386.0,768,1<=X<4,2.0,'female div/dep/mar',none,2.0,'life insurance',26.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,12.0,'existing paid',education,684.0,35,1<=X<4,4.0,'male single',none,4.0,car,40.0,none,rent,1.0,'unskilled resident',2.0,none,yes,bad
<0,48.0,'existing paid',education,7476.0,19,4<=X<7,4.0,'male single',none,1.0,'no known property',50.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,24.0,'existing paid','new car',2303.0,63,>=7,4.0,'male single','co applicant',1.0,'real estate',45.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,36.0,'delayed previously','new car',8086.0,485,>=7,2.0,'male single',none,4.0,car,42.0,none,own,4.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'critical/other existing credit','used car',2346.0,89,4<=X<7,4.0,'male single',none,3.0,car,35.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,14.0,'existing paid','new car',3973.0,6,unemployed,1.0,'male single',none,4.0,'no known property',22.0,none,'for free',1.0,skilled,1.0,none,yes,good
